State,Rate,Verbal,Math,Region
CT,82,509,510,Northeast
NJ,81,499,513,Northeast
MA,79,511,515,Northeast
NY,77,495,505,Northeast
NH,72,520,516,Northeast
RI,71,501,499,Northeast
PA,71,500,499,Northeast
VT,69,511,506,Northeast
ME,69,506,500,Northeast
VA,68,510,501,South
DE,67,501,499,Northeast
MD,65,508,510,Northeast
NC,65,493,499,South
GA,63,491,489,South
IN,60,499,501,Midwest
SC,57,486,488,South
DC,56,482,474,Northeast
OR,55,526,526,West
FL,54,498,499,South
WA,53,527,527,West
TX,53,493,499,South
HI,52,485,515,West
AK,51,514,510,West
CA,51,498,517,West
AZ,34,523,525,West
NV,33,509,515,West
CO,31,539,542,West
OH,26,534,439,Midwest
MT,23,539,539,West
WV,18,527,512,South
ID,17,543,542,Midwest
TN,13,562,553,South
NM,13,551,542,West
IL,12,576,589,Midwest
KY,12,550,550,South
WY,11,547,545,West
MI,11,561,572,Midwest
MN,9,580,589,West
KS,9,577,580,Midwest
AL,9,559,554,South
NE,8,562,568,Midwest
OK,8,567,561,South
MO,8,577,577,Midwest
LA,7,564,562,South
WI,6,584,596,Midwest
AR,6,562,550,South
UT,5,575,570,West
IA,5,593,603,Midwest
SD,4,577,582,Midwest
ND,4,592,599,Midwest
MS,4,566,551,South
All,45,506,514,
